# unstructured grid for a domain
#
# no. of nodes cells and boundaries
25		16		4
# BC
1	4	5
1	4	5
1	4	5
1	4	5
# node coordinates
0	0
0.250000000000000	0
0.500000000000000	0
0.750000000000000	0
1	0
0	0.250000000000000
0.250000000000000	0.250000000000000
0.500000000000000	0.250000000000000
0.750000000000000	0.250000000000000
1	0.250000000000000
0	0.500000000000000
0.250000000000000	0.500000000000000
0.500000000000000	0.500000000000000
0.750000000000000	0.500000000000000
1	0.500000000000000
0	0.750000000000000
0.250000000000000	0.750000000000000
0.500000000000000	0.750000000000000
0.750000000000000	0.750000000000000
1	0.750000000000000
0	1
0.250000000000000	1
0.500000000000000	1
0.750000000000000	1
1	1
# element connectivity
1	2	7	6
2	3	8	7
3	4	9	8
4	5	10	9
6	7	12	11
7	8	13	12
8	9	14	13
9	10	15	14
11	12	17	16
12	13	18	17
13	14	19	18
14	15	20	19
16	17	22	21
17	18	23	22
18	19	24	23
19	20	25	24
# bnodes
1	2
2	3
3	4
4	5
5	10
10	15
15	20
20	25
25	24
24	23
23	22
22	21
21	16
16	11
11	6
6	1
